0,9
00,46
000,1
0008,1
0028,1
00493,1
01,8
01742,1
019,2
02,2
0203,1
02114,2
0212,1
02453,1
0276,3
0289,1
03,1
0300,1
0319,2
03200723300,2
04,1
05,5
050,1
0500066516210,1
0502,1
06,1
061002310701,1
07,3
08,3
09,4
0963,2
1,402
10,277
100,47
1000,6
102,1
1020,1
1025,2
103,1
1031,1
1032,1
1040,1
1046,1
105,5
11,79
110,2
1100,1
1104,1
1120,1
1123,3
115,5
1190,1
12,96
120,10
1200,4
1203,1
125,1
1280,2
13,12
130,6
1300,1
13107747417,1
135,8
1358,1
1359085429,1
14,17
140,4
1400,2
1405,1
142,1
1420,1
14499,1
146964313,1
147696306,1
148,1
15,157
150,18
1500,4
16,40
160,8
1603,2
1607,13
162,46
1650,1
169503,1
17,26
1700,3
1701,1
1736,1
175,1
1750,1
1753,1
1779,3
18,29
180,3
1800,5
18004633339,1
19,16
190,1
1932,1
195,1
1965,1
19782541779,1
19788312210,1
2,352
20,190
200,17
2000,4
2001,1
2006,1
2008,2
2010,17
2011,1
2012,4
2013,13
202,5
203,1
2038,1
21,9
210,1
2128,1
215,2
22,14
220,6
2200,1
224,1
23,10
230,2
2319,1
2329,2
233749,1
2346,4
235,1
24,27
240,1
2400,5
2409,5
248,5
25,38
250,15
2500,2
253,1
254,4
2544,5
26,11
260,1
2628,1
265,1
266,1
27,5
2700,4
27611512,1
279,3
28,7
280,13
2800,1
281,1
2896,1
29,6
290,3
2952,3
299,2
3,654
30,258
300,14
3024,1
310,2
31138,1
312,1
314,1
317,1
32,1
320,11
3200,1
33,2
330,1
3316,24
332,2
3345,1
34,3
340,1
35,29
350,6
3505,4
354,1
36,2
360,1
3600,1
369,1
370,2
3719,1
3727,1
3727505510,1
375,1
377,3
38,4
380,1
3815,1
383,1
3885,1
39,2
390,1
396,1
4,274
40,101
400,11
4000,2
408,2
410,2
415,1
4156,2
42,3
420,3
421,2
43,4
439,6
44,3
441,5
45,53
450,3
46,6
47,3
471015735,1
475,1
475104292,1
480,3
4846,2
4884,1
49,4
4994,6
5,345
50,65
500,12
5000,1
501,1
505,1
508,1
512,2
513,4
5168,1
5179,1
518,1
519,6
52,2
5245,1
528,5
53,5
532,2
539,2
54,2
545,1
55,13
550,2
5548,1
56,1
57,3
5706,1
5770,1
58,3
59,4
592,2
599,1
6,181
60,29
600,2
6000,1
603,1
60601,1
60604,1
60645,1
60657,5
61,1
612,1
617,14
6178773302,2
627,1
6279,2
6312,1
633,1
64,1
640,1
65,1
66,1
668,1
67,1
670,1
672,1
678,1
68,1
687521,1
6917,1
698,1
7,176
70,21
700,2
7000,1
7022,2
703,2
705,1
707,1
708,1
71,1
7128,1
7170,1
719,9
72,3
722,3
72400889,1
730,1
7429,3
7472,2
75,5
750,5
76,1
760,4
767,2
77,2
773,10
7781,1
781,1
7812731114,2
7816989097,1
784,1
799,3
8,319
80,41
800,5
801,1
8030,1
804,1
806,2
808,1
81,1
816,2
81907248723879,1
828,1
8299,1
83,1
84,1
840,5
845,1
847,5
85,3
850,6
856,3
86,2
87,1
8754,1
877,5
88,2
886,1
8887,1
890,1
9,218
90,29
900,7
90405,2
909,2
910,5
9131,1
916,1
917,1
9197,1
92,2
920,1
922,2
928,1
9306,1
940,1
945,1
9477,1
95,12
950,7
9500,5
9521,1
954,3
96,4
960,2
9751,3
978,11
97833525086582713695,1
9823,5
99,1
9907,2
